iter	Passed	Remaining
0	1	132
1	2	114
2	3	103
3	3	94
4	4	91
5	5	87
6	6	85
7	7	83
8	8	81
9	9	82
10	10	81
11	10	80
12	11	78
13	12	77
14	13	76
15	14	74
16	15	73
17	16	73
18	17	73
19	18	72
20	19	72
21	20	72
22	21	71
23	22	70
24	23	71
25	26	74
26	27	75
27	28	73
28	29	72
29	30	71
30	31	70
31	32	68
32	33	67
33	34	66
34	35	65
35	36	65
36	38	65
37	39	65
38	40	64
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	45	56
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	53	51
51	55	51
52	57	50
53	58	49
54	58	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	67	42
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	74	36
67	75	35
68	76	34
69	77	33
70	79	32
71	82	31
72	83	30
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	89	23
79	90	22
80	91	21
81	92	20
82	94	19
83	96	18
84	97	17
85	99	16
86	99	14
87	100	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	109	6
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
