iter	Passed	Remaining
0	136	135965
1	140	70044
2	144	48022
3	148	36962
4	152	30404
5	156	25999
6	161	22858
7	164	20361
8	167	18388
9	169	16771
10	171	15400
11	173	14256
12	174	13283
13	176	12427
14	177	11680
15	179	11023
16	181	10479
17	182	9960
18	183	9497
19	185	9073
20	186	8675
21	186	8304
22	187	7967
23	188	7658
24	189	7380
25	189	7117
26	190	6873
27	191	6645
28	192	6435
29	192	6237
30	193	6053
31	194	5883
32	195	5731
33	196	5582
34	198	5459
35	198	5322
36	199	5191
37	200	5068
38	200	4951
39	201	4839
40	202	4734
41	203	4634
42	203	4537
43	204	4445
44	205	4356
45	206	4273
46	206	4193
47	207	4116
48	208	4042
49	209	3971
50	210	3908
51	210	3845
52	211	3782
53	212	3721
54	213	3663
55	213	3605
56	214	3550
57	215	3497
58	216	3446
59	216	3396
60	217	3348
61	218	3301
62	218	3256
63	219	3212
64	220	3169
65	221	3128
66	221	3087
67	222	3049
68	223	3012
69	224	2979
70	225	2946
71	226	2913
72	226	2880
73	227	2848
74	228	2819
75	229	2790
76	230	2759
77	230	2729
78	231	2700
79	232	2672
80	233	2644
81	233	2617
82	234	2587
83	234	2561
84	235	2536
85	236	2511
86	237	2487
87	237	2464
88	238	2442
89	239	2423
90	240	2401
91	241	2379
92	241	2358
93	242	2338
94	243	2318
95	244	2298
96	244	2278
97	245	2259
98	246	2240
99	246	2221
100	247	2203
101	248	2186
102	249	2169
103	249	2151
104	250	2135
105	251	2118
106	252	2108
107	253	2096
108	254	2081
109	255	2066
110	256	2050
111	256	2035
112	257	2021
113	258	2006
114	258	1992
115	259	1979
116	260	1964
117	260	1950
118	261	1937
119	262	1924
120	263	1911
121	263	1897
122	264	1884
123	265	1872
124	265	1860
125	266	1848
126	267	1836
127	268	1828
128	269	1818
129	270	1807
130	270	1796
131	271	1785
132	272	1775
133	273	1764
134	273	1754
135	274	1743
136	275	1733
137	275	1723
138	276	1713
139	277	1704
140	278	1694
141	278	1683
142	279	1674
143	280	1665
144	280	1655
145	281	1646
146	282	1639
147	283	1631
148	284	1622
149	284	1614
150	285	1605
151	286	1597
152	287	1589
153	287	1581
154	288	1572
155	289	1564
156	289	1557
157	290	1549
158	291	1541
159	292	1533
160	292	1524
161	293	1517
162	294	1512
163	295	1506
164	298	1508
165	299	1504
166	300	1500
167	301	1495
168	302	1489
169	304	1484
170	304	1478
171	305	1473
172	307	1467
173	308	1462
174	309	1456
175	309	1451
176	310	1445
177	312	1443
178	313	1438
179	314	1433
180	315	1428
181	316	1423
182	317	1418
183	318	1413
184	319	1406
185	320	1401
186	321	1395
187	321	1389
188	322	1383
189	323	1377
190	323	1371
191	324	1366
192	325	1360
193	326	1355
194	327	1350
195	328	1345
196	328	1340
197	329	1335
198	330	1331
199	331	1326
200	332	1321
201	333	1315
202	333	1310
203	334	1305
204	335	1299
205	335	1294
206	336	1289
207	337	1284
208	338	1279
209	338	1274
210	339	1269
211	340	1265
212	341	1261
213	342	1257
214	343	1252
215	343	1247
216	344	1243
217	345	1238
218	345	1233
219	346	1229
220	347	1224
221	348	1220
222	348	1215
223	349	1211
224	350	1206
225	351	1202
226	351	1198
227	352	1193
228	353	1189
229	353	1184
230	354	1181
231	355	1178
232	356	1174
233	357	1170
234	358	1166
235	358	1162
236	359	1158
237	360	1153
238	361	1149
239	361	1145
240	362	1141
241	363	1137
242	363	1133
243	364	1129
244	365	1126
245	366	1122
246	366	1118
247	367	1114
248	368	1111
249	369	1107
250	370	1104
251	371	1101
252	371	1098
253	372	1094
254	373	1090
255	374	1087
256	374	1083
257	375	1079
258	376	1076
259	376	1072
260	377	1069
261	378	1065
262	379	1062
263	379	1058
264	380	1055
265	381	1051
266	382	1048
267	382	1045
268	383	1041
269	384	1038
270	385	1036
271	386	1033
272	386	1030
273	387	1026
274	388	1023
275	389	1020
276	389	1017
277	390	1014
278	391	1010
279	391	1007
280	392	1004
281	393	1001
